Location,Indicator,Subject,Measure,Frequency,Time,Value,Flag Codes
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-01,100.2096,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-02,100.1315,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-03,100.1785,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-04,100.4184,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-05,100.822,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-06,101.2216,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-07,101.1619,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-08,100.8599,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-09,100.6135,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-10,100.6784,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-11,101.0045,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2017-12,101.1718,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-01,101.0265,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-02,100.6838,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-03,100.4185,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-04,100.1577,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-05,99.91643,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-06,99.69032,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-07,99.52659,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-08,99.269,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-09,98.91972,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-10,98.72697,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-11,98.4582,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2018-12,98.32918,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-01,98.70628,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-02,99.15945,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-03,99.50099,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-04,99.72899,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-05,99.99719,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-06,100.2171,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-07,100.4129,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-08,100.5015,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-09,100.5778,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-10,100.5721,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-11,100.456,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2019-12,100.1356,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-01,99.87869,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-02,99.41753,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-03,98.48895,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-04,97.60699,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-05,97.71711,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-06,98.38781,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-07,98.88987,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-08,99.05496,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-09,98.9435,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-10,98.56629,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-11,98.27914,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2020-12,98.45207,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-01,98.53881,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-02,98.77287,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-03,99.37284,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-04,100.0818,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-05,100.955,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-06,101.5942,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-07,101.5773,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-08,101.2919,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-09,101.1305,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-10,100.8132,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-11,100.4838,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2021-12,100.0927,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2022-01,99.61243,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2022-02,98.83447,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2022-03,97.65123,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2022-04,97.03223,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2022-05,96.75227,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2022-06,96.49194,
FRA,CCI,AMPLITUD,LTRENDIDX,M,2022-07,96.25912,
POL,CCI,AMPLITUD,LTRENDIDX,M,2017-01,101.531,
POL,CCI,AMPLITUD,LTRENDIDX,M,2017-02,101.4942,
POL,CCI,AMPLITUD,LTRENDIDX,M,2017-03,101.4868,
POL,CCI,AMPLITUD,LTRENDIDX,M,2017-04,101.5545,
POL,CCI,AMPLITUD,LTRENDIDX,M,2017-05,101.6316,
POL,CCI,AMPLITUD,LTRENDIDX,M,2017-06,101.6384,
POL,CCI,AMPLITUD,LTRENDIDX,M,2017-07,101.6718,
POL,CCI,AMPLITUD,LTRENDIDX,M,2017-08,101.8342,
POL,CCI,AMPLITUD,LTRENDIDX,M,2017-09,102.0757,
POL,CCI,AMPLITUD,LTRENDIDX,M,2017-10,102.1556,
POL,CCI,AMPLITUD,LTRENDIDX,M,2017-11,102.1433,
POL,CCI,AMPLITUD,LTRENDIDX,M,2017-12,102.194,
POL,CCI,AMPLITUD,LTRENDIDX,M,2018-01,102.2723,
POL,CCI,AMPLITUD,LTRENDIDX,M,2018-02,102.2871,
POL,CCI,AMPLITUD,LTRENDIDX,M,2018-03,102.3227,
POL,CCI,AMPLITUD,LTRENDIDX,M,2018-04,102.5208,
POL,CCI,AMPLITUD,LTRENDIDX,M,2018-05,102.6529,
POL,CCI,AMPLITUD,LTRENDIDX,M,2018-06,102.7059,
POL,CCI,AMPLITUD,LTRENDIDX,M,2018-07,102.6061,
POL,CCI,AMPLITUD,LTRENDIDX,M,2018-08,102.4127,
POL,CCI,AMPLITUD,LTRENDIDX,M,2018-09,102.3358,
POL,CCI,AMPLITUD,LTRENDIDX,M,2018-10,102.2699,
POL,CCI,AMPLITUD,LTRENDIDX,M,2018-11,102.2215,
POL,CCI,AMPLITUD,LTRENDIDX,M,2018-12,102.2095,
POL,CCI,AMPLITUD,LTRENDIDX,M,2019-01,102.3552,
POL,CCI,AMPLITUD,LTRENDIDX,M,2019-02,102.5851,
POL,CCI,AMPLITUD,LTRENDIDX,M,2019-03,102.65,
POL,CCI,AMPLITUD,LTRENDIDX,M,2019-04,102.5758,
POL,CCI,AMPLITUD,LTRENDIDX,M,2019-05,102.6391,
POL,CCI,AMPLITUD,LTRENDIDX,M,2019-06,102.8443,
POL,CCI,AMPLITUD,LTRENDIDX,M,2019-07,102.8803,
POL,CCI,AMPLITUD,LTRENDIDX,M,2019-08,102.7612,
POL,CCI,AMPLITUD,LTRENDIDX,M,2019-09,102.604,
POL,CCI,AMPLITUD,LTRENDIDX,M,2019-10,102.3568,
POL,CCI,AMPLITUD,LTRENDIDX,M,2019-11,102.244,
POL,CCI,AMPLITUD,LTRENDIDX,M,2019-12,102.1681,
POL,CCI,AMPLITUD,LTRENDIDX,M,2020-01,101.9677,
POL,CCI,AMPLITUD,LTRENDIDX,M,2020-02,101.3275,
POL,CCI,AMPLITUD,LTRENDIDX,M,2020-03,100.0616,
POL,CCI,AMPLITUD,LTRENDIDX,M,2020-04,98.21763,
POL,CCI,AMPLITUD,LTRENDIDX,M,2020-05,97.69333,
POL,CCI,AMPLITUD,LTRENDIDX,M,2020-06,98.26607,
POL,CCI,AMPLITUD,LTRENDIDX,M,2020-07,98.96269,
POL,CCI,AMPLITUD,LTRENDIDX,M,2020-08,99.11546,
POL,CCI,AMPLITUD,LTRENDIDX,M,2020-09,98.86125,
POL,CCI,AMPLITUD,LTRENDIDX,M,2020-10,98.53519,
POL,CCI,AMPLITUD,LTRENDIDX,M,2020-11,98.30639,
POL,CCI,AMPLITUD,LTRENDIDX,M,2020-12,98.44208,
POL,CCI,AMPLITUD,LTRENDIDX,M,2021-01,98.77364,
POL,CCI,AMPLITUD,LTRENDIDX,M,2021-02,99.24125,
POL,CCI,AMPLITUD,LTRENDIDX,M,2021-03,99.62417,
POL,CCI,AMPLITUD,LTRENDIDX,M,2021-04,100.001,
POL,CCI,AMPLITUD,LTRENDIDX,M,2021-05,100.5108,
POL,CCI,AMPLITUD,LTRENDIDX,M,2021-06,100.7707,
POL,CCI,AMPLITUD,LTRENDIDX,M,2021-07,100.8085,
POL,CCI,AMPLITUD,LTRENDIDX,M,2021-08,100.7623,
POL,CCI,AMPLITUD,LTRENDIDX,M,2021-09,100.636,
POL,CCI,AMPLITUD,LTRENDIDX,M,2021-10,100.3251,
POL,CCI,AMPLITUD,LTRENDIDX,M,2021-11,99.90776,
POL,CCI,AMPLITUD,LTRENDIDX,M,2021-12,99.54355,
POL,CCI,AMPLITUD,LTRENDIDX,M,2022-01,99.27221,
POL,CCI,AMPLITUD,LTRENDIDX,M,2022-02,99.17165,
POL,CCI,AMPLITUD,LTRENDIDX,M,2022-03,99.03146,
POL,CCI,AMPLITUD,LTRENDIDX,M,2022-04,98.8245,
POL,CCI,AMPLITUD,LTRENDIDX,M,2022-05,98.68221,
POL,CCI,AMPLITUD,LTRENDIDX,M,2022-06,98.6686,
POL,CCI,AMPLITUD,LTRENDIDX,M,2022-07,98.57201,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2017-01,100.5139,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2017-02,100.5417,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2017-03,100.6501,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2017-04,100.7678,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2017-05,100.8464,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2017-06,100.8733,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2017-07,100.9017,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2017-08,100.9596,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2017-09,101.0288,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2017-10,101.117,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2017-11,101.1446,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2017-12,101.139,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2018-01,101.1432,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2018-02,101.1656,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2018-03,101.1818,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2018-04,101.1702,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2018-05,101.1626,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2018-06,101.1732,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2018-07,101.1816,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2018-08,101.1165,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2018-09,101.0291,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2018-10,100.9248,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2018-11,100.8118,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2018-12,100.7301,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-01,100.7036,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-02,100.7818,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-03,100.8799,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-04,100.9045,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-05,100.8768,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-06,100.7783,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-07,100.6326,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-08,100.4585,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-09,100.4229,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-10,100.4901,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-11,100.6354,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-12,100.7463,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2020-01,100.683,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2020-02,100.1829,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2020-03,99.09396,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2020-04,97.92384,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2020-05,97.56017,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2020-06,97.77358,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2020-07,98.05158,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2020-08,98.302,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2020-09,98.51566,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2020-10,98.58869,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2020-11,98.59422,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2020-12,98.7184,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2021-01,98.87643,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2021-02,99.18067,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2021-03,99.63049,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2021-04,99.98542,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2021-05,100.248,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2021-06,100.4033,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2021-07,100.2802,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2021-08,100.0053,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2021-09,99.81213,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2021-10,99.60342,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2021-11,99.35802,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2021-12,99.11656,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2022-01,98.78751,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2022-02,98.32633,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2022-03,97.7879,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2022-04,97.40521,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2022-05,97.02988,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2022-06,96.59806,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2022-07,96.16651,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2017-01,102.5138,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2017-02,102.4212,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2017-03,102.6281,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2017-04,102.9486,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2017-05,103.1687,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2017-06,103.3491,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2017-07,103.5393,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2017-08,103.5973,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2017-09,103.5234,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2017-10,103.4028,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2017-11,103.282,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2017-12,103.1918,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2018-01,103.0059,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2018-02,102.6617,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2018-03,102.4121,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2018-04,102.5472,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2018-05,102.8573,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2018-06,103.1859,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2018-07,103.1198,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2018-08,102.7087,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2018-09,102.2368,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2018-10,102.0766,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2018-11,102.1124,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2018-12,102.097,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2019-01,102.1729,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2019-02,102.396,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2019-03,102.7257,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2019-04,102.769,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2019-05,102.8918,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2019-06,102.9316,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2019-07,102.5325,
ESP,CCI,AMPLITUD,LTRENDIDX,M,2019-08,102.0232,
